Date,Close
9/1/2016,8.05
9/2/2016,8.15
9/6/2016,8.22
9/7/2016,8.22
9/8/2016,8.045
9/9/2016,8.035
9/12/2016,8.19
9/13/2016,8.03
9/14/2016,7.975
9/15/2016,8.02
9/16/2016,8.035
9/19/2016,8.065
9/20/2016,8.025
9/21/2016,8.065
9/22/2016,8.125
9/23/2016,7.98
9/26/2016,7.935
9/27/2016,7.955
9/28/2016,7.945
9/29/2016,7.935
9/30/2016,7.89
10/3/2016,7.98
10/4/2016,7.975
10/5/2016,7.98
10/6/2016,7.88
10/7/2016,7.8
10/10/2016,7.935
10/11/2016,7.85
10/12/2016,7.965
10/13/2016,8.325
10/14/2016,7.83
10/17/2016,7.85
10/18/2016,7.955
10/19/2016,7.92
10/20/2016,7.87
10/21/2016,7.935
10/24/2016,7.995
10/25/2016,7.845
10/26/2016,7.81
10/27/2016,7.68
10/28/2016,7.645
10/31/2016,7.63
11/1/2016,7.63
11/2/2016,7.58
11/3/2016,7.48
11/4/2016,7.52
11/7/2016,7.62
11/8/2016,7.58
11/9/2016,7.27
11/10/2016,7.22
11/11/2016,7.255
11/14/2016,7.03
11/15/2016,7
11/16/2016,7.055
11/17/2016,7.05
11/18/2016,6.945
11/21/2016,7
11/22/2016,7.03
11/23/2016,7.065
11/25/2016,7.265
11/28/2016,7.28
11/29/2016,7.25
11/30/2016,7.24
12/1/2016,7.155
12/2/2016,7.155
12/5/2016,7.17
12/6/2016,7.235
12/7/2016,7.395
12/8/2016,7.39
12/9/2016,7.37
12/12/2016,7.35
12/13/2016,7.485
12/14/2016,7.42
12/15/2016,7.44
12/16/2016,7.45
12/19/2016,7.435
12/20/2016,7.465
12/21/2016,7.485
12/22/2016,7.4
12/23/2016,7.375
12/27/2016,7.405
12/28/2016,7.365
12/29/2016,7.37
12/30/2016,7.415
1/3/2017,7.37
1/4/2017,7.565
1/5/2017,7.51
1/6/2017,7.41
1/9/2017,7.48
1/10/2017,7.39
1/11/2017,7.595
1/12/2017,7.625
1/13/2017,7.25
1/17/2017,7.245
1/18/2017,7.22
1/19/2017,7.195
1/20/2017,7.18
1/23/2017,7.045
1/24/2017,7.06
1/25/2017,7
1/26/2017,6.895
1/27/2017,6.97
1/30/2017,6.905
1/31/2017,6.885
2/1/2017,6.795
2/2/2017,6.875
2/3/2017,6.94
2/6/2017,6.925
2/7/2017,7.035
2/8/2017,7.055
2/9/2017,7.285
2/10/2017,7.25
2/13/2017,7.325
2/14/2017,7.455
2/15/2017,7.43
2/16/2017,7.495
2/17/2017,7.44
2/21/2017,7.645
2/22/2017,7.52
2/23/2017,7.595
2/24/2017,7.605
2/27/2017,7.605
2/28/2017,7.57
3/1/2017,7.68
